group,title,url,description,tags,priority,enabled
Bots,Tool Selection for Projects,https://chatgpt.com/c/6970bb2f-0ef0-8326-86f2-bc0bbc1b4bee,,,71,true
RAG,Quickstart - Mem0,https://docs.mem0.ai/platform/quickstart,,,72,true
Tools,Sovereign Computing | Start9,https://start9.com/,,,73,true
Tools,Prompts | prompts.chat,https://prompts.chat/prompts?q=therapy%2Cmental%2Ccounseling%2Cwellness%2Csupport&ai=1,,,74,true
Tools,WriteABookAI - The AI-Native Book Writing Platform,https://writeabookai.com/,,,75,true
Tools,"v0 by Vercel - Build Agents, Apps, and Websites with AI",https://v0.app/,,,76,true
Tools,Find your Template,https://vercel.com/templates,,,77,true
Tools,Khoj AI,https://app.khoj.dev/home,,,78,true
Tools,Nuerodivergence In the Age of AI | ReportGPT,https://reportgpt.app/reports/edit/30961d3f-8655-4b46-b3bc-5706202a9d8b,,,79,true
Tools,Claude,https://claude.ai/settings/account,,,80,true
Tools,Perplexity,https://www.perplexity.ai/platforms,,,81,true
Tools,Builder | Activepieces,https://activepieces-production-1488.up.railway.app/projects/GT1BktLfY4EOaT5owTYT6/flows/zirMtZFMQDbQs9PkZL0SL?newFlow=true,,,82,true
Tools,Open Knowledge Graphs,https://openknowledgegraphs.com/,,,83,true
Tools,Active QR Codes | Dashboard,https://qr.io/dashboard/,,,84,true
Tools,ChatGPT,https://chatgpt.com/c/69bdd4df-ad44-832d-a8d8-a12efbb0bdaf,,,85,true
Tools,Create Interactive Presentations (Request a demo),https://www.tiled.co/lp/create-interactive-presentations-2?utm_feeditemid=&utm_device=c&utm_term=interactive%20presentations&utm_source=google&utm_medium=ppc&utm_campaign=OT+%7C+Search+%7C+Microapps&hsa_cam=20741851398&hsa_grp=154731514225&hsa_mt=b&hsa_ad=679684724532&hsa_acc=1741314237&hsa_net=adwords&hsa_kw=interactive%20presentations&hsa_tgt=kwd-347384077336&hsa_ver=3&gad_source=1&gad_campaignid=20741851398&gbraid=0AAAAADRF31D4XBPRodbJdzJoSBXSXnUGV&gclid=Cj0KCQjw4PPNBhD8ARIsAMo-icyXQtgqKyc5pBsQzRO9GQsjMnJaweKFWgYGaG0zwkO8Ufo4UodWcvUaAjpZEALw_wcB,,,86,true
Tools,Fully Managed Graph Database Service | Neo4j AuraDB,https://neo4j.com/product/auradb/,,,87,true
Tools,Postgres re-engineered for B2B apps,https://www.thenile.dev/,,,88,true
Tools,No-code online spreadsheet and databases for work | Stackby,https://stackby.com/,,,89,true
Tools,Ilograph Interactive System Architecture Diagrams,https://www.ilograph.com/,,,90,true
Tools,Kumu,https://kumu.io/,,,91,true
Tools,"qdrant/qdrant: Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",https://github.com/qdrant/qdrant,,,92,true
Tools,Eleventy is a simpler static site generator,https://www.11ty.dev/,,,93,true
Tools,react-static/react-static · Discussions · GitHub,https://github.com/react-static/react-static/discussions,,,94,true
Tools,"iamgio/quarkdown: 🪐 Markdown with superpowers: from ideas to papers, presentations, websites, books, and knowledge bases.",https://github.com/iamgio/quarkdown,,,95,true
Tools,Liam ERD,https://liambx.com/,,,96,true
Tools,Zavu - Platform,https://dashboard.zavu.dev/?_gl=1*11s4ugl*_gcl_au*MTQ5ODMyNjA4NS4xNzc1MzcwNDYw,,,97,true
Tools,Sure,https://app.sure.am/sessions/new,,,98,true
Readers,Barcode Reader. Free Online Web Application,https://online-barcode-reader.inliteresearch.com/,,,99,true
Docs,XWiki - The Advanced Open Source Enterprise and Application Wiki (XWiki.org),https://www.xwiki.org/xwiki/bin/view/Main/WebHome,,,100,true
Docs,WikiSuite | Software,https://wikisuite.org/Software,,,101,true
Docs,Docker - Bigcapital Docs,https://docs.bigcapital.app/deployment/docker,,,102,true
Docs,Quarkdown | Markdown with superpowers,https://quarkdown.com/,,,103,true
Docs,Editor - Slides,https://designmodo.com/slides/app/website/bG2AkimW/pages/,,,104,true
Docs,Mindmup,https://app3.mindmup.com/map/?id=89c5da70-bff6-494c-8770-cef90d443a76,,,105,true
Docs,Ilograph's Serverless Architecture - Ilograph,https://app.ilograph.com/demo.ilograph.Ilograph/Request,,,106,true
Docs,ReportGPT | Success,https://reportgpt.app/auth/sign-up/success,,,107,true
Docs,sickn33/opendataloader-pdf: PDF Parser for AI-ready data. Automate PDF accessibility. Open-source.,https://github.com/sickn33/opendataloader-pdf,,,108,true
Docs,Binder,https://mybinder.org/,,,109,true
Docs,Tour,https://kumu.io/tour,,,110,true
Docs,"HeyForm: Open source form builder, built for small business success",https://heyform.net/,,,111,true
Docs,Library | Notion,https://www.notion.so/qially/library/recents,,,112,true
Docs,Home | Notion,https://www.notion.so/qially/8e1c083e0ca4477f8641602e53b0f1cb,,,113,true
Docs,flipbook · GitHub Topics,https://github.com/topics/flipbook?l=javascript,,,114,true
Docs,Upload Book | FlipHTML5,https://fliphtml5.com/edit-book/upload?lang=en,,,115,true
Docs,IC-Income-Statement-8552.xlsx - Google Sheets,https://docs.google.com/spreadsheets/d/1gyPQVwVytmRI-mMoMyHn0qtWIhTTJDX4/edit?gid=2095215255#gid=2095215255,,,116,true
Docs,MMD9703_Mejias-Martinez_Damyelo_Business_Sheets - Google Sheets,https://docs.google.com/spreadsheets/d/1qi60i-BkdIkiwftJlKJDQacvLFSR-ClmgkYNQY0g064/edit?gid=584374955#gid=584374955,,,117,true
Docs,_Sheets - Google Drive,https://drive.google.com/drive/folders/1tg8-wHMv7RsyJZ73zq7tfGewk7V6mgy9,,,118,true
Docs,Qi_Client_Code_Registry - Google Sheets,https://docs.google.com/spreadsheets/d/1jbTOSW-EYHH5tZcX73FliI56xBjuK7dUKcOmJqbI8nM/edit?gid=0#gid=0,,,119,true
Docs,Free Stock Images & Videos ~ AllTheFreeStock.com,https://allthefreestock.com/,,,120,true
Docs,Mindmup,https://www.mindmup.com/,,,121,true
Docs,DocuSeal | Open Source Document Signing,https://www.docuseal.com/,,,122,true
Docs,markmap,https://markmap.js.org/,,,123,true
Projects,The Lounge,https://thelounge.chat/,,,124,true
Projects,TeamMapper,https://www.teammapper.org/,,,125,true
Projects,Projects – Michael Staake,https://michaelstaake.com/projects/,,,126,true
Projects,"Vikunja: The open-source, self-hostable to-do app",https://vikunja.io/,,,127,true
Projects,New Diagram - Ilograph,https://app.ilograph.com/new/Dependency,,,128,true
CMS,"ontola/atomic-server: An open source headless CMS / real-time database. Powerful table editor, full-text search, and SDKs for JS / React / Svelte.",https://github.com/ontola/atomic-server,,,129,true
CMS,"fastenhealth/fasten-onprem: Fasten is an open-source, self-hosted, personal/family electronic medical record manager",https://github.com/fastenhealth/fasten-onprem/,,,130,true
CMS,Notion to PostgreSQL: Load data with the dlt python library | dlt Docs,https://dlthub.com/docs/pipelines/notion/load-data-with-python-from-notion-to-postgres#0-prerequisites,,,131,true
Time,Kimai - Open Source time-tracker,https://www.kimai.org/,,,132,true
Time,solidtime - The Modern Open Source Timetracker,https://www.solidtime.io/,,,133,true
Time,"TimeTagger - Tag your time, get the insight",https://timetagger.app/,,,134,true
Social,Linkthread,https://linkthread.zoho.com/socialbio/setup,,,135,true
Social,Log in to X / X,https://x.com/i/flow/login?redirect_after_login=%2Fi%2Foauth2%2Fauthorize%3Fresponse_type%3Dcode%26client_id%3DV3NubFR4MTR6S0RjenkwZjBfOWI6MTpjaQ%26state%3DeyJ0b2tlbiI6IlRUOFZ1eGhzZnF1RUd0Z2JRblcyRWciLCJtZXRhZGF0YSI6eyJwcm9tcHRPbkR1cGxpY2F0ZUVtYWlsIjoidHJ1ZSIsImludGVudGlvbiI6InNpZ24taW4ifX0%26code_challenge%3DeYs-E83gflSD3PpUw-fcXb_hFjI7XOtPmF8nPzAHJt0%26code_challenge_method%3DS256%26redirect_uri%3Dhttps%253A%252F%252Faccounts.x.ai%252Fexchange-token%252F%26scope%3Dtweet.read%2Busers.read%2Busers.email%2Boffline.access,,,136,true
